candidate_offset_m,satellite_count,p05_delta_range_m,p25_delta_range_m,median_delta_range_m,p75_delta_range_m,p95_delta_range_m
0,60,0,0,0,0,0
5,60,-4.19192047547549,-2.39713935740292,-0.137162543833256,2.76884625293314,4.38628472220153
10,60,-8.38384067453444,-4.79427787475288,-0.274324379861355,5.5376929808408,8.77256969437003
15,60,-12.5757605822757,-7.19141556695104,-0.411485526710749,8.30654015205801,13.1588549124077
20,60,-16.767680195719,-9.58855241816491,-0.548645973205566,11.0753877963871,17.545140376687
25,60,-20.9595995254815,-11.9856884507462,-0.685805723071098,13.8442358858883,21.9314260944724
30,60,-25.1515185713768,-14.3828236469999,-0.822964776307344,16.6130844429135,26.3177120581269
35,60,-29.3434373015538,-16.7799580069259,-0.960123132914305,19.3819334413856,30.7039982749149
40,60,-33.5353557549417,-19.1770915389061,-1.0972807854414,22.1507829129696,35.0902847345918
45,60,-37.7272739354521,-21.5742242336273,-1.2344377450645,24.9196328483522,39.476571450755
50,60,-41.9191918283701,-23.9713561087847,-1.37159400805831,27.6884832382202,43.8628584098071
55,60,-46.1111094160005,-26.3684871401638,-1.50874957069755,30.4573340713978,48.2491456180811
60,60,-50.3030267305672,-28.7656173482537,-1.64590443298221,33.2261853627861,52.6354330798611
65,60,-54.494943754375,-31.1627467293292,-1.78305860236287,35.9950371310115,57.0217207878828
70,60,-58.6868604695424,-33.5598752647638,-1.92021207138896,38.7638893332332,61.4080087417737
75,60,-62.8787769008428,-35.9570029778406,-2.05736484006047,41.5327420197427,65.7942969493568
80,60,-67.0706930553541,-38.3541298490018,-2.19451691582799,44.3015951551497,70.1805853990838
85,60,-71.2626089226455,-40.7512559015304,-2.33166829496622,47.0704487524927,74.5668741093948
90,60,-75.4545244811103,-43.1483811121434,-2.46881897002459,49.8393027875572,78.953163058497
95,60,-79.6464397666976,-45.5455055031925,-2.60596895590425,52.6081573106349,83.3394522650167
100,60,-83.8383547822013,-47.9426290476695,-2.74311823770404,55.3770122677088,87.725741709955
105,60,-88.0302694929764,-50.3397517707199,-2.88026682659984,58.1458676774055,92.1120314080268
110,60,-92.2221839092672,-52.7368736658245,-3.01741471141577,60.9147235732526,96.4983213599771
115,60,-96.4140980310738,-55.1339947180822,-3.15456189960241,63.6835799049586,100.88461155761
120,60,-100.606011872366,-57.5311149470508,-3.29170839488506,66.4524367153645,105.270902001299
125,60,-104.797925415821,-59.9282343350351,-3.42885418608785,69.2212939634919,109.657192698494
130,60,-108.989838686213,-62.3253529062495,-3.56599928438663,71.9901516605169,114.043483641557
135,60,-113.181751655228,-64.7224706336856,-3.70314368978143,74.7590098381042,118.429774838127
140,60,-117.373664336465,-67.119587530382,-3.84028737992048,77.5278684664518,122.816066273488
145,60,-121.565576758981,-69.5167036037892,-3.97743038833141,80.2967275623232,127.202357965894
150,60,-125.757488855161,-71.9138188352808,-4.11457269266248,83.0655871070921,131.588649904355
155,60,-129.949400685169,-74.310933245346,-4.25171430781484,85.8344471175224,135.97494209595
