time_offset_s,residual_rms_m,residual_std_m,satellite_count,row_count
-3600,1371711.78919209,1374770.23622022,45,225
-1800,708375.055952174,709954.489475854,45,225
-900,356977.788252674,357773.72633835,45,225
-600,238303.729541382,238835.065160971,45,225
-300,119234.634655366,119500.487013627,45,225
-120,47699.7259349536,47806.0799709674,45,225
-60,23850.3701960067,23903.5483449594,45,225
-30,11925.9246338217,11952.5153572093,45,225
-10,3976.54758392288,3985.41392176155,45,225
0,11.0140540849291,11.0386116496078,45,225
10,3972.59262770387,3981.45014734604,45,225
30,11921.3468463315,11947.9273628225,45,225
60,23843.7068710056,23896.8701630278,45,225
120,47684.6451917953,47790.965602922,45,225
300,119160.557104147,119426.244294865,45,225
600,238017.769797076,238548.46782447,45,225
900,356334.579242123,357129.083192216,45,225
1800,705713.4313375,707286.93035077,45,225
3600,1359469.16665031,1362500.31682729,45,225
